UMAP1,UMAP2,ID,height_above,labels_k2,labels_k3,labels_k4,labels_k5,labels_k6,labels_k7,labels_k8,labels_k9,labels_k10
10.583855,1.1033242,3753,0.606552,0,1,1,1,0,2,2,0,1
12.10323,23.63984,7380,1.32588,1,0,0,4,4,4,4,4,9
10.123397,11.015994,6241,0.886968,1,0,0,0,1,0,1,1,0
11.574418,1.6052849,4052,0.0,0,1,1,1,0,2,2,0,1
-8.101628,10.579549,8074,2.828544,1,0,3,3,3,3,7,7,7
5.2661376,17.112902,7453,0.749808,1,0,0,0,1,0,3,3,3
5.998902,13.619317,7373,0.109728,1,0,0,0,1,0,1,1,0
2.7869792,11.948404,5486,0.21336,1,0,0,0,5,5,5,5,5
9.407903,16.824276,7394,0.573024,1,0,0,0,1,0,3,3,3
11.544001,4.3950644,3494,1.58496,0,1,1,1,0,2,2,0,4
16.053534,11.935187,2769,1.6154400000000002,0,2,2,2,2,6,6,6,6
9.58515,7.532648,4386,0.0,0,1,1,1,0,2,2,0,4
14.430229,9.752956,6301,2.520696,0,2,2,2,2,6,6,6,6
6.7325478,11.892912,9767,1.121664,1,0,0,0,1,0,1,1,0
0.34992713,12.929859,6588,0.527304,1,0,0,0,5,5,5,5,5
10.305789,10.696693,6267,0.515112,1,0,0,0,1,0,1,1,0
17.665743,9.285437,2816,0.953008,0,2,2,2,2,6,6,6,6
12.1388855,2.1740868,3715,0.0,0,1,1,1,0,2,2,0,1
16.328547,10.674021,2705,0.762,0,2,2,2,2,6,6,6,6
5.1347466,17.1296,7440,0.819912,1,0,0,0,1,0,3,3,3
5.4212437,13.17398,7481,0.551688,1,0,0,0,1,0,1,1,0
9.874738,6.0270157,4358,2.654808,0,1,1,1,0,2,2,0,4
16.377533,8.491465,2849,1.761744,0,2,2,2,2,6,6,6,6
0.26377335,12.970334,6646,0.420624,1,0,0,0,5,5,5,5,5
16.151373,10.404831,2753,0.0,0,2,2,2,2,6,6,6,6
6.8798313,17.588715,7654,0.082296,1,0,0,0,1,0,3,3,3
12.390494,24.252396,7556,0.313944,1,0,0,4,4,4,4,4,9
7.477093,2.8611643,14708,0.13716,0,1,1,1,0,2,2,0,1
16.899172,10.276643,2528,1.225296,0,2,2,2,2,6,6,6,6
2.742313,12.016426,5479,0.70104,1,0,0,0,5,5,5,5,5
11.841861,6.1152825,3571,1.292352,0,1,1,1,0,2,2,0,4
9.071857,16.311165,7292,0.448056,1,0,0,0,1,0,3,3,3
8.783397,1.7181212,3956,0.0,0,1,1,1,0,2,2,0,1
11.590313,4.0733237,3271,0.0,0,1,1,1,0,2,2,0,4
17.109299,10.273923,2496,0.954024,0,2,2,2,2,6,6,6,6
9.61654,7.5315866,4385,0.0,0,1,1,1,0,2,2,0,4
3.0617108,13.509026,6665,0.819912,1,0,0,0,5,5,5,5,5
9.120099,16.365782,7300,0.612648,1,0,0,0,1,0,3,3,3
-7.394777,6.4807415,5470,0.41148,1,0,3,3,3,3,7,7,7
9.597769,7.521007,4383,0.0,0,1,1,1,0,2,2,0,4
11.7417965,3.9824677,3266,2.7432,0,1,1,1,0,2,2,0,4
16.379292,10.4980345,2716,2.078736,0,2,2,2,2,6,6,6,6
7.8391347,18.616117,7462,0.179832,1,0,0,0,1,0,3,3,3
4.9021435,14.343393,7313,0.478536,1,0,0,0,1,0,1,1,0
2.4975796,13.887636,6284,1.99644,1,0,0,0,5,5,5,5,5
8.033303,2.6319954,14693,2.10312,0,1,1,1,0,2,2,0,1
12.182331,3.3250146,3721,0.6096,0,1,1,1,0,2,2,0,4
16.156796,10.533528,2868,0.1524,0,2,2,2,2,6,6,6,6
8.912502,16.09456,7465,0.758952,1,0,0,0,1,0,3,3,3
10.087285,10.895676,6166,0.454152,1,0,0,0,1,0,1,1,0
9.588644,11.12117,6270,0.48768,1,0,0,0,1,0,1,1,0
11.574751,-2.1591625,14928,1.472184,0,1,1,1,0,1,0,2,2
4.583517,15.748596,7476,1.6764,1,0,0,0,1,0,1,1,0
12.660484,23.747387,7549,0.996696,1,0,0,4,4,4,4,4,9
-7.5939856,6.3950825,5447,1.34112,1,0,3,3,3,3,7,7,7
16.232056,9.236088,2780,2.25552,0,2,2,2,2,6,6,6,6
12.100682,2.8947482,3740,0.57912,0,1,1,1,0,2,2,0,4
16.022205,11.903762,2767,1.6764,0,2,2,2,2,6,6,6,6
15.487473,9.820796,2761,1.46304,0,2,2,2,2,6,6,6,6
6.999336,17.795448,7630,0.51816,1,0,0,0,1,0,3,3,3
2.48046,13.913321,6244,1.365504,1,0,0,0,5,5,5,5,5
6.034083,-5.702819,778,1.5392400000000002,0,1,1,1,0,1,0,8,8
4.908748,14.326286,7316,0.758952,1,0,0,0,1,0,1,1,0
15.389325,23.082233,7420,1.283208,1,0,0,4,4,4,4,4,9
0.4373875,11.417872,6256,0.466344,1,0,0,0,5,5,5,5,5
7.574513,18.911757,7472,0.697992,1,0,0,0,1,0,3,3,3
5.895288,13.475147,7594,1.286256,1,0,0,0,1,0,1,1,0
4.582575,15.770604,7711,1.255776,1,0,0,0,1,0,1,1,0
13.890764,10.616312,6239,0.618744,0,2,2,2,2,6,6,6,6
6.182228,13.8444605,7603,0.201168,1,0,0,0,1,0,1,1,0
0.8602043,12.049991,6499,0.0,1,0,0,0,5,5,5,5,5
7.812789,18.666492,7471,0.298704,1,0,0,0,1,0,3,3,3
