ID,S1_Date,peak_date,precipitation
3194,2017-08-24,8/29/2017 5:00:00 PM,11.769054412841797
3195,2017-08-24,8/29/2017 5:00:00 PM,11.883539199829102
3196,2017-08-24,8/29/2017 5:00:00 PM,11.883539199829102
3197,2017-08-24,8/29/2017 5:00:00 PM,11.883539199829102
3200,2017-08-24,8/29/2017 5:00:00 PM,11.462517738342285
3201,2017-08-24,8/29/2017 5:00:00 PM,11.462517738342285
3202,2017-08-24,8/29/2017 5:00:00 PM,13.127140998840332
3203,2017-08-24,8/29/2017 5:00:00 PM,13.127140998840332
3204,2017-08-24,8/29/2017 5:00:00 PM,13.127140998840332
3205,2017-08-24,8/29/2017 5:00:00 PM,14.231213569641113
3206,2017-08-24,8/29/2017 5:00:00 PM,14.231213569641113
3208,2017-08-24,8/29/2017 5:00:00 PM,14.231213569641113
3210,2017-08-24,8/29/2017 5:00:00 PM,23.5264949798584
3211,2017-08-24,8/29/2017 5:00:00 PM,23.5264949798584
3212,2017-08-24,8/29/2017 5:00:00 PM,26.799243927001953
3213,2017-08-24,8/29/2017 5:00:00 PM,26.799243927001953
3214,2017-08-24,8/29/2017 5:00:00 PM,28.23077392578125
3252,2017-08-22,8/29/2017 6:00:00 PM,0.0
3253,2017-08-22,8/29/2017 6:00:00 PM,0.0
3257,2017-08-22,8/29/2017 9:00:00 PM,12.490863800048828
3258,2017-08-22,8/29/2017 5:00:00 PM,0.0
3262,2017-08-22,8/29/2017 6:00:00 PM,0.0
3264,2017-08-22,8/29/2017 6:00:00 PM,0.0
3265,2017-08-22,8/29/2017 3:00:00 PM,0.0
3266,2017-08-22,8/29/2017 3:00:00 PM,0.0
3270,2017-08-22,8/29/2017 2:00:00 PM,13.122623443603516
3271,2017-08-22,8/29/2017 2:00:00 PM,13.122623443603516
3274,2017-08-22,8/29/2017 1:00:00 PM,13.122623443603516
3275,2017-08-22,8/29/2017 12:00:00 PM,13.611696243286133
3324,2017-08-24,8/30/2017 5:00:00 PM,10.212318420410156
3325,2017-08-24,8/30/2017 5:00:00 PM,10.212318420410156
3327,2017-08-24,8/29/2017 5:00:00 PM,19.730676651000977
3328,2017-08-24,8/29/2017 5:00:00 PM,19.730676651000977
3329,2017-08-24,8/29/2017 5:00:00 PM,19.227514266967773
3332,2017-08-24,8/29/2017 5:00:00 PM,18.80799102783203
3334,2017-08-24,8/29/2017 5:00:00 PM,18.80799102783203
3476,2017-08-24,8/29/2017 5:00:00 PM,27.278186798095703
3477,2017-08-24,8/29/2017 5:00:00 PM,27.278186798095703
3478,2017-08-24,8/29/2017 5:00:00 PM,19.235149383544922
3479,2017-08-24,8/29/2017 5:00:00 PM,19.235149383544922
3482,2017-08-24,8/29/2017 5:00:00 PM,19.235149383544922
3483,2017-08-24,8/29/2017 5:00:00 PM,18.872529983520508
3484,2017-08-24,8/29/2017 5:00:00 PM,18.872529983520508
3485,2017-08-24,8/29/2017 5:00:00 PM,18.872529983520508
3486,2017-08-24,8/29/2017 5:00:00 PM,18.872529983520508
3487,2017-08-24,8/29/2017 5:00:00 PM,20.82304573059082
3488,2017-08-24,8/29/2017 5:00:00 PM,20.82304573059082
3489,2017-08-24,8/29/2017 5:00:00 PM,18.613962173461914
3490,2017-08-24,8/29/2017 5:00:00 PM,18.613962173461914
3491,2017-08-24,8/30/2017 5:00:00 PM,0.0
3492,2017-08-24,8/30/2017 5:00:00 PM,0.0
3493,2017-08-24,8/29/2017 5:00:00 PM,17.50599479675293
3494,2017-08-24,8/29/2017 5:00:00 PM,17.50599479675293
3496,2017-08-24,8/29/2017 5:00:00 PM,26.907861709594727
3497,2017-08-24,8/29/2017 5:00:00 PM,26.907861709594727
3546,2017-08-22,8/29/2017 5:00:00 PM,29.761032104492188
3562,2017-08-24,8/29/2017 5:00:00 PM,22.347787857055664
3563,2017-08-24,8/29/2017 5:00:00 PM,22.347787857055664
3570,2017-08-24,8/29/2017 5:00:00 PM,19.217899322509766
3571,2017-08-24,8/29/2017 5:00:00 PM,19.217899322509766
3572,2017-08-24,8/29/2017 5:00:00 PM,19.217899322509766
3573,2017-08-24,8/29/2017 5:00:00 PM,21.657455444335938
3574,2017-08-24,8/29/2017 5:00:00 PM,21.657455444335938
3575,2017-08-24,8/29/2017 5:00:00 PM,21.657455444335938
3582,2017-08-24,8/30/2017 5:00:00 PM,0.0
3583,2017-08-24,8/30/2017 5:00:00 PM,0.0
3585,2017-08-24,8/29/2017 5:00:00 PM,19.217899322509766
3586,2017-08-24,8/29/2017 5:00:00 PM,19.217899322509766
3587,2017-08-24,8/29/2017 5:00:00 PM,19.217899322509766
3592,2017-08-24,8/29/2017 5:00:00 PM,20.6047420501709
3593,2017-08-24,8/29/2017 5:00:00 PM,20.6047420501709
3594,2017-08-24,8/29/2017 5:00:00 PM,22.549190521240234
3595,2017-08-24,8/29/2017 5:00:00 PM,22.17929458618164
3596,2017-08-24,8/29/2017 5:00:00 PM,22.17929458618164
3597,2017-08-24,8/29/2017 5:00:00 PM,22.17929458618164
3598,2017-08-24,8/30/2017 5:00:00 PM,0.0
3599,2017-08-24,8/30/2017 5:00:00 PM,0.0
3600,2017-08-24,8/30/2017 5:00:00 PM,0.0
3602,2017-08-24,8/30/2017 5:00:00 PM,22.097431182861328
3603,2017-08-24,8/29/2017 5:00:00 PM,20.158626556396484
3604,2017-08-24,8/29/2017 5:00:00 PM,20.158626556396484
3617,2017-09-05,9/10/2017 5:00:00 PM,0.0
3618,2017-09-05,9/10/2017 5:00:00 PM,0.0
3637,2017-08-24,8/29/2017 5:00:00 PM,22.462772369384766
3640,2017-08-24,8/29/2017 5:00:00 PM,22.462772369384766
3642,2017-08-24,8/29/2017 5:00:00 PM,20.158626556396484
3694,2017-08-24,8/30/2017 5:00:00 PM,0.0
3695,2017-08-24,8/30/2017 5:00:00 PM,0.0
3696,2017-08-24,8/30/2017 5:00:00 PM,0.0
3698,2017-08-24,8/30/2017 5:00:00 PM,0.0
3699,2017-08-24,8/30/2017 5:00:00 PM,0.0
3703,2017-08-24,8/30/2017 5:00:00 PM,0.0
3709,2017-08-24,8/29/2017 5:00:00 PM,19.94709014892578
3712,2017-08-24,8/29/2017 5:00:00 PM,19.94709014892578
3714,2017-08-24,8/30/2017 5:00:00 PM,0.0
3715,2017-08-24,8/29/2017 5:00:00 PM,19.806331634521484
3716,2017-08-24,8/30/2017 5:00:00 PM,0.0
